Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Sat Apr 1 2017,6:00 pm,Orlando Magic,,Brooklyn Nets,,,,
Sat Apr 1 2017,5:00 pm,Atlanta Hawks,,Chicago Bulls,,,,
Sat Apr 1 2017,3:30 pm,Los Angeles Lakers,,Los Angeles Clippers,,,,
Sat Apr 1 2017,8:00 pm,Sacramento Kings,,Minnesota Timberwolves,,,,
Sat Apr 1 2017,10:00 pm,Phoenix Suns,,Portland Trail Blazers,,,,
Sun Apr 2 2017,6:00 pm,Atlanta Hawks,,Brooklyn Nets,,,,
Sun Apr 2 2017,6:00 pm,Indiana Pacers,,Cleveland Cavaliers,,,,
Sun Apr 2 2017,8:00 pm,Washington Wizards,,Golden State Warriors,,,,
Sun Apr 2 2017,3:30 pm,Memphis Grizzlies,,Los Angeles Lakers,,,,
Sun Apr 2 2017,6:00 pm,Denver Nuggets,,Miami Heat,,,,
Sun Apr 2 2017,3:30 pm,Dallas Mavericks,,Milwaukee Bucks,,,,
Sun Apr 2 2017,6:00 pm,Chicago Bulls,,New Orleans Pelicans,,,,
Sun Apr 2 2017,1:00 pm,Boston Celtics,,New York Knicks,,,,
Sun Apr 2 2017,3:00 pm,Charlotte Hornets,,Oklahoma City Thunder,,,,
Sun Apr 2 2017,9:00 pm,Houston Rockets,,Phoenix Suns,,,,
Sun Apr 2 2017,3:30 pm,Utah Jazz,,San Antonio Spurs,,,,
Sun Apr 2 2017,6:00 pm,Philadelphia 76ers,,Toronto Raptors,,,,
Tue Apr 4 2017,7:00 pm,Orlando Magic,,Cleveland Cavaliers,,,,
Tue Apr 4 2017,10:30 pm,Minnesota Timberwolves,,Golden State Warriors,,,,
Tue Apr 4 2017,7:00 pm,Toronto Raptors,,Indiana Pacers,,,,
Tue Apr 4 2017,8:00 pm,Denver Nuggets,,New Orleans Pelicans,,,,
Tue Apr 4 2017,8:00 pm,Chicago Bulls,,New York Knicks,,,,
Tue Apr 4 2017,8:00 pm,Milwaukee Bucks,,Oklahoma City Thunder,,,,
Tue Apr 4 2017,7:00 pm,Brooklyn Nets,,Philadelphia 76ers,,,,
Tue Apr 4 2017,10:30 pm,Dallas Mavericks,,Sacramento Kings,,,,
Tue Apr 4 2017,8:30 pm,Memphis Grizzlies,,San Antonio Spurs,,,,
Tue Apr 4 2017,10:30 pm,Portland Trail Blazers,,Utah Jazz,,,,
Tue Apr 4 2017,7:00 pm,Charlotte Hornets,,Washington Wizards,,,,
Wed Apr 5 2017,8:00 pm,Cleveland Cavaliers,,Boston Celtics,,,,
Wed Apr 5 2017,7:00 pm,Miami Heat,,Charlotte Hornets,,,,
Wed Apr 5 2017,7:30 pm,Toronto Raptors,,Detroit Pistons,,,,
Wed Apr 5 2017,8:00 pm,Denver Nuggets,,Houston Rockets,,,,
Wed Apr 5 2017,10:30 pm,Dallas Mavericks,,Los Angeles Clippers,,,,
Wed Apr 5 2017,8:00 pm,Oklahoma City Thunder,,Memphis Grizzlies,,,,
Wed Apr 5 2017,10:00 pm,Golden State Warriors,,Phoenix Suns,,,,
Wed Apr 5 2017,8:30 pm,Los Angeles Lakers,,San Antonio Spurs,,,,
Thu Apr 6 2017,8:00 pm,Boston Celtics,,Atlanta Hawks,,,,
Thu Apr 6 2017,7:00 pm,Milwaukee Bucks,,Indiana Pacers,,,,
Thu Apr 6 2017,7:30 pm,Washington Wizards,,New York Knicks,,,,
Thu Apr 6 2017,7:00 pm,Brooklyn Nets,,Orlando Magic,,,,
Thu Apr 6 2017,7:00 pm,Chicago Bulls,,Philadelphia 76ers,,,,
Thu Apr 6 2017,10:30 pm,Minnesota Timberwolves,,Portland Trail Blazers,,,,
Fri Apr 7 2017,7:30 pm,Atlanta Hawks,,Cleveland Cavaliers,,,,
Fri Apr 7 2017,8:30 pm,San Antonio Spurs,,Dallas Mavericks,,,,
Fri Apr 7 2017,9:00 pm,New Orleans Pelicans,,Denver Nuggets,,,,
Fri Apr 7 2017,8:00 pm,Detroit Pistons,,Houston Rockets,,,,
Fri Apr 7 2017,10:30 pm,Sacramento Kings,,Los Angeles Lakers,,,,
Fri Apr 7 2017,8:00 pm,New York Knicks,,Memphis Grizzlies,,,,
Fri Apr 7 2017,10:00 pm,Oklahoma City Thunder,,Phoenix Suns,,,,
Fri Apr 7 2017,7:30 pm,Miami Heat,,Toronto Raptors,,,,
Fri Apr 7 2017,9:00 pm,Minnesota Timberwolves,,Utah Jazz,,,,
Sat Apr 8 2017,5:00 pm,Chicago Bulls,,Brooklyn Nets,,,,
Sat Apr 8 2017,6:00 pm,Boston Celtics,,Charlotte Hornets,,,,
Sat Apr 8 2017,10:30 pm,New Orleans Pelicans,,Golden State Warriors,,,,
Sat Apr 8 2017,6:00 pm,Indiana Pacers,,Orlando Magic,,,,
Sat Apr 8 2017,7:00 pm,Milwaukee Bucks,,Philadelphia 76ers,,,,
Sat Apr 8 2017,10:00 pm,Utah Jazz,,Portland Trail Blazers,,,,
Sat Apr 8 2017,8:30 pm,Los Angeles Clippers,,San Antonio Spurs,,,,
Sat Apr 8 2017,7:00 pm,Miami Heat,,Washington Wizards,,,,
Sun Apr 9 2017,3:30 pm,Cleveland Cavaliers,,Atlanta Hawks,,,,
Sun Apr 9 2017,5:00 pm,Oklahoma City Thunder,,Denver Nuggets,,,,
Sun Apr 9 2017,9:30 pm,Minnesota Timberwolves,,Los Angeles Lakers,,,,
Sun Apr 9 2017,6:00 pm,Detroit Pistons,,Memphis Grizzlies,,,,
Sun Apr 9 2017,12:00 pm,Toronto Raptors,,New York Knicks,,,,
Sun Apr 9 2017,6:00 pm,Dallas Mavericks,,Phoenix Suns,,,,
Sun Apr 9 2017,6:00 pm,Houston Rockets,,Sacramento Kings,,,,
Mon Apr 10 2017,7:30 pm,Brooklyn Nets,,Boston Celtics,,,,
Mon Apr 10 2017,8:00 pm,Orlando Magic,,Chicago Bulls,,,,
Mon Apr 10 2017,8:00 pm,Washington Wizards,,Detroit Pistons,,,,
Mon Apr 10 2017,10:30 pm,Utah Jazz,,Golden State Warriors,,,,
Mon Apr 10 2017,10:30 pm,Houston Rockets,,Los Angeles Clippers,,,,
Mon Apr 10 2017,7:30 pm,Cleveland Cavaliers,,Miami Heat,,,,
Mon Apr 10 2017,8:00 pm,Charlotte Hornets,,Milwaukee Bucks,,,,
Mon Apr 10 2017,7:00 pm,Indiana Pacers,,Philadelphia 76ers,,,,
Mon Apr 10 2017,10:00 pm,San Antonio Spurs,,Portland Trail Blazers,,,,
Tue Apr 11 2017,7:30 pm,Charlotte Hornets,,Atlanta Hawks,,,,
Tue Apr 11 2017,8:30 pm,Denver Nuggets,,Dallas Mavericks,,,,
Tue Apr 11 2017,10:30 pm,New Orleans Pelicans,,Los Angeles Lakers,,,,
Tue Apr 11 2017,8:00 pm,Oklahoma City Thunder,,Minnesota Timberwolves,,,,
Tue Apr 11 2017,10:30 pm,Phoenix Suns,,Sacramento Kings,,,,
Wed Apr 12 2017,8:00 pm,Milwaukee Bucks,,Boston Celtics,,,,
Wed Apr 12 2017,8:00 pm,Brooklyn Nets,,Chicago Bulls,,,,
Wed Apr 12 2017,8:00 pm,Toronto Raptors,,Cleveland Cavaliers,,,,
Wed Apr 12 2017,10:30 pm,Los Angeles Lakers,,Golden State Warriors,,,,
Wed Apr 12 2017,8:00 pm,Minnesota Timberwolves,,Houston Rockets,,,,
Wed Apr 12 2017,8:00 pm,Atlanta Hawks,,Indiana Pacers,,,,
Wed Apr 12 2017,10:30 pm,Sacramento Kings,,Los Angeles Clippers,,,,
Wed Apr 12 2017,8:00 pm,Dallas Mavericks,,Memphis Grizzlies,,,,
Wed Apr 12 2017,8:00 pm,Washington Wizards,,Miami Heat,,,,
Wed Apr 12 2017,8:00 pm,Philadelphia 76ers,,New York Knicks,,,,
Wed Apr 12 2017,8:00 pm,Denver Nuggets,,Oklahoma City Thunder,,,,
Wed Apr 12 2017,8:00 pm,Detroit Pistons,,Orlando Magic,,,,
Wed Apr 12 2017,10:30 pm,New Orleans Pelicans,,Portland Trail Blazers,,,,
Wed Apr 12 2017,10:30 pm,San Antonio Spurs,,Utah Jazz,,,,